DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: sec-dns-a.rotld.ro. @ Glue IP: 192.162.16.20', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:12.747871', 'round_trip_time': '0.2331s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ghimpele.ro', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:13.379827', 'round_trip_time': '0.2375s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'sky.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:13.671081', 'round_trip_time': '0.2684s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'sky.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 172.64.34.2', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:13.971030', 'round_trip_time': '0.2835s', 'total_time_to_resolution': '0.8499s', 'dns_server_ip': '162.159.0.33', 'domain_name': 'sky.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:13.119197', 'round_trip_time': '0.3564s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.162.16.20', 'domain_name': 'ghimpele.ro', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 89.35.160.167', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:14.178331', 'round_trip_time': '0.1982s', 'total_time_to_resolution': '1.6640s', 'dns_server_ip': '172.64.34.2', 'domain_name': 'ghimpele.ro', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:14.494857', 'round_trip_time': '0.2541s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'pahibu.net', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:14.794934', 'round_trip_time': '0.2819s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'pahibu.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:15.113076', 'round_trip_time': '0.2526s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'trackcheatingspouse.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:15.411333', 'round_trip_time': '0.2736s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'trackcheatingspouse.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Query Failed)', 'timestamp': '2025-10-26T15:51:17.490283', 'round_trip_time': '2.0069s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dricom-hosting.nl', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:17.775853', 'round_trip_time': '0.2148s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'medipacademy.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ian.ns.cloudflare.com. @ Glue IP: 108.162.193.118', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:18.070110', 'round_trip_time': '0.2698s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'medipacademy.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 188.114.96.0', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:18.385079', 'round_trip_time': '0.2984s', 'total_time_to_resolution': '0.8248s', 'dns_server_ip': '108.162.193.118', 'domain_name': 'medipacademy.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: gr-m.ics.forth.gr. @ Glue IP: 194.0.4.10', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:18.691506', 'round_trip_time': '0.2228s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'e-daily.gr', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:19.313854', 'round_trip_time': '0.2499s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'isla.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:19.617257', 'round_trip_time': '0.2834s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'isla.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 173.245.58.119', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:19.913713', 'round_trip_time': '0.2832s', 'total_time_to_resolution': '0.8549s', 'dns_server_ip': '162.159.0.33', 'domain_name': 'isla.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:19.059261', 'round_trip_time': '0.3526s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.4.10', 'domain_name': 'e-daily.gr', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.26.13.52', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:20.119133', 'round_trip_time': '0.1936s', 'total_time_to_resolution': '1.6519s', 'dns_server_ip': '173.245.58.119', 'domain_name': 'e-daily.gr', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:20.435245', 'round_trip_time': '0.2472s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cuteteenschoolgirlz.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:20.728946', 'round_trip_time': '0.2727s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'cuteteenschoolgirlz.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b0.info.afilias-nst.org. @ Glue IP: 199.254.48.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:21.044006', 'round_trip_time': '0.2376s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'hralda.info', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:21.346288', 'round_trip_time': '0.2806s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.254.48.1', 'domain_name': 'hralda.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:21.657657', 'round_trip_time': '0.2440s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'sendrakhizonline.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:22.274502', 'round_trip_time': '0.3074s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns03.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:22.889253', 'round_trip_time': '0.3015s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:23.298925', 'round_trip_time': '0.1921s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:23.704129', 'round_trip_time': '0.1952s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:24.123230', 'round_trip_time': '0.2027s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:24.631429', 'round_trip_time': '0.2928s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:25.145057', 'round_trip_time': '0.2881s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:25.551011', 'round_trip_time': '0.1885s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:25.945982', 'round_trip_time': '0.1836s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:26.344686', 'round_trip_time': '0.1878s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:26.544325', 'round_trip_time': '0.1816s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:26.141776', 'round_trip_time': '0.1774s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:25.748505', 'round_trip_time': '0.1818s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:25.351177', 'round_trip_time': '0.1820s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:24.843664', 'round_trip_time': '0.1922s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:24.323845', 'round_trip_time': '0.1801s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:23.908327', 'round_trip_time': '0.1925s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:23.499235', 'round_trip_time': '0.1855s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:23.092782', 'round_trip_time': '0.1838s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:22.577705', 'round_trip_time': '0.2891s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns03.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns03.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:21.959574', 'round_trip_time': '0.2820s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'sendrakhizonline.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:26.795544', 'round_trip_time': '0.1885s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'hayalforum.net', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:26.999158', 'round_trip_time': '0.1839s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'hayalforum.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:27.291250', 'round_trip_time': '0.2266s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'begleyhutton.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:27.905913', 'round_trip_time': '0.3068s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns0.reg365.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns0.phase8.net. @ Glue IP: 81.88.63.114', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:28.111824', 'round_trip_time': '0.1809s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'ns0.reg365.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 81.88.63.115', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:28.412061', 'round_trip_time': '0.2880s', 'total_time_to_resolution': '0.8195s', 'dns_server_ip': '81.88.63.114', 'domain_name': 'ns0.reg365.net.', 'cache_status': 'MISS'}
